Food,Temp_C,Storage_Days,Humidity,Odor,Color_Change,Texture_Change,Freshness
Tomato,4,1,60,0,0,0,Fresh
Tomato,5,2,62,0,0,0,Fresh
Tomato,6,2,65,0,0,0,Fresh
Tomato,7,3,68,0,0,0,Fresh
Tomato,8,3,65,0,1,0,Fresh
Tomato,6,4,70,0,0,1,Fresh
Tomato,5,3,60,0,0,0,Fresh
Tomato,7,2,63,0,0,0,Fresh
Tomato,8,4,70,1,0,1,Moderate
Tomato,9,4,72,1,1,1,Moderate
Tomato,10,5,75,1,1,1,Moderate
Tomato,8,5,73,1,1,1,Moderate
Tomato,10,6,76,1,1,1,Moderate
Tomato,11,5,78,1,1,2,Moderate
Tomato,9,6,75,1,1,2,Moderate
Tomato,12,6,80,1,1,2,Moderate
Tomato,12,7,80,2,1,2,Not Fresh
Tomato,13,7,82,2,2,2,Not Fresh
Tomato,14,8,85,2,2,2,Not Fresh
Tomato,15,8,86,2,2,2,Not Fresh
Tomato,16,9,88,2,2,2,Not Fresh
Tomato,14,10,90,2,2,2,Not Fresh
Tomato,17,10,92,2,2,2,Not Fresh
Tomato,15,12,90,2,2,2,Not Fresh
